DEBUG | 2023-08-30 21:34:08,881 | 'num nodes1. cores per node 128.  Ps88' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:34:08,881 | '{'Ns': 1201, 'NBs': 86, 'Ps': 88, 'Qs': 1}' | objective() @ line 101 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:34:08,881 | ' val -> 1' | objective() @ line 102 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:34:19,398 | 'SLURM script executed successfully.' | run_hpl_benchmark() @ line 68 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:34:19,401 | 'num nodes1. cores per node 128.  Ps96' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:34:19,401 | '{'Ns': 5045, 'NBs': 65, 'Ps': 96, 'Qs': 1}' | objective() @ line 101 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:34:19,401 | ' val -> 1' | objective() @ line 102 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:35:36,496 | 'SLURM script executed successfully.' | run_hpl_benchmark() @ line 68 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:35:36,498 | 'num nodes1. cores per node 128.  Ps84' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:35:36,498 | '{'Ns': 4778, 'NBs': 241, 'Ps': 84, 'Qs': 1}' | objective() @ line 101 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:35:36,499 | ' val -> 1' | objective() @ line 102 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:36:09,832 | 'SLURM script executed successfully.' | run_hpl_benchmark() @ line 68 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:36:09,834 | 'num nodes1. cores per node 128.  Ps113' | objective() @ line 96 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:36:09,834 | '{'Ns': 4258, 'NBs': 214, 'Ps': 113, 'Qs': 1}' | objective() @ line 101 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
DEBUG | 2023-08-30 21:36:09,834 | ' val -> 1' | objective() @ line 102 in TLDR.py from TLDR | StackInfo : None | ProcessInfo : MainProcess(606347) | ThreadInfo : MainThread(140009716079488)
